seg_id,s_start,s_end,iri_multi,grms,mean_speed_kmh,valid_ratio,anomaly_count,legacy_rmsa_mean,legacy_samples_count,rank_new_iri_multi,rank_legacy_rmsa
122,12200.14399251781,12299.911484566492,3.04825145647445,0.0555523945797078,50.95241731294083,1.0,0,0.35674526599638473,7.0,101.0,76.0
123,12300.190975966914,12399.925731067317,3.5728559269606297,0.0679844276493854,52.6353412059408,1.0,0,0.4593017268476724,7.0,78.0,48.0
124,12400.169859507096,12499.98784535475,3.1792256625595305,0.0166568668055055,16.149131251558508,1.0,0,0.1254749498701437,22.0,94.0,145.0
125,12500.00509333082,12599.922176476935,3.935146793867351,0.0205512443943845,6.816530400967962,1.0,0,0.10845060464167486,53.0,62.0,149.0
126,12600.082689033808,12699.917802882916,4.73647578402173,0.067908253990301,33.17779261283701,1.0,0,0.5716551417139638,11.0,45.0,23.0
127,12700.042342978211,12799.93336788567,5.002080742022414,0.051378282142463,14.88790692310548,1.0,0,0.45329458006434686,24.0,36.0,54.0
128,12800.04273319847,12899.87345797671,6.1094288323391295,0.0859813139041877,25.45251472199327,1.0,0,0.5812095844914797,14.0,14.0,22.0
129,12900.043384499037,12999.99263630702,5.05023497664206,0.0689149673871389,28.79276970464616,1.0,0,0.5305180830859981,13.0,33.0,34.0
130,13000.145243362043,13099.840553170545,4.777486231113144,0.0720451122639594,35.963730300154914,1.0,0,0.4602150942837858,10.0,44.0,47.0
131,13100.070634501764,13199.845532233365,7.257768331635569,0.1302630725758272,43.451158006334325,1.0,0,0.7401813255765313,8.0,5.0,2.0
132,13200.066804062704,13299.96781807362,4.543872062929151,0.0771252571466617,44.11784794484779,1.0,0,0.44014176008942174,8.0,47.0,57.0
133,13300.20830428654,13399.801134902167,3.8048175071480586,0.0660781363285107,47.17057188171008,1.0,0,0.4088210320899685,8.0,68.0,63.0
134,13400.0554066709,13499.815546177537,2.370956757328667,0.0419204362347574,50.80799323340548,1.0,0,0.3107499226818388,7.0,115.0,93.0
135,13500.100240377806,13599.9008360163,4.272056958467221,0.0830035490635564,53.57802717351566,1.0,0,0.40042545051612505,7.0,54.0,64.0
136,13600.184163354355,13699.896085793858,2.516969593193971,0.0452547354966116,51.17081161659212,1.0,0,0.25052555018864325,7.0,113.0,118.0
137,13700.129166921295,13799.99265996098,2.7388413276365897,0.0196759165082309,26.02084651762652,1.0,0,0.17567339073277255,13.0,109.0,135.0
138,13800.040057427044,13899.867639173934,4.326028631332384,0.0362339564041145,13.454400915377674,1.0,0,0.16249761602928103,27.0,53.0,138.0
139,13900.038330881249,13999.971206826496,5.451835087069629,0.0906812407975155,40.354082497689205,1.0,0,0.546643305284895,9.0,25.0,32.0
140,14000.217778943505,14099.813715453309,4.54351945417383,0.0838640486766971,49.77532458729286,1.0,0,0.4973886032418946,7.0,48.0,38.0
141,14100.072229519938,14199.9367938629,3.9018844777226263,0.062946045475207,42.92600884316321,1.0,0,0.32753818739275536,9.0,65.0,88.0
142,14200.154191727055,14299.877065183862,4.9542888452454985,0.0811068903662769,40.61683129975925,1.0,0,0.4843634303083151,9.0,39.0,41.0
143,14300.093243005576,14399.858662673754,3.529746437102138,0.0533705416923681,41.09765368096378,1.0,0,0.34388926605963127,8.0,81.0,83.0
144,14400.082483195129,14499.853056940008,4.0210753582650565,0.0595064085625685,38.054785343389845,1.0,0,0.4108441149727808,10.0,59.0,62.0
145,14500.046541575062,14599.859357152654,4.880999341318356,0.0628661176063319,26.5403949438711,1.0,0,0.5530164028029829,13.0,42.0,29.0
146,14600.013470875623,14699.957118308954,5.879894240975163,0.086911464740987,30.05817774652179,1.0,0,0.6673963352264286,12.0,16.0,5.0
147,14700.113521982015,14799.986560057678,5.7528026953499865,0.0713720078937382,19.14394569771534,1.0,0,0.6122271874959854,19.0,20.0,16.0
148,14800.063181467329,14899.941520610104,5.132852098139365,0.0567727251184082,17.232523830315646,1.0,0,0.5637083410479752,21.0,32.0,26.0
149,14900.034797432889,14999.974724325826,4.99833057557337,0.044388899461278,9.088647421969045,1.0,0,0.3368857161972928,40.0,37.0,85.0
150,15000.049094455228,15099.882100327595,4.507835827034428,0.049648447553911,21.67456756463956,1.0,0,0.45901902751760115,16.0,50.0,49.0
151,15100.075400693366,15140.68858140516,6.721756004882511,0.0959528677247812,23.60987165047471,1.0,0,0.6283808920950565,6.0,8.0,9.0
