Time,Type,X,Y,Z,Latitude,Longitude
1753796017241,Accelerometer,-0.68195444,-6.3086767,7.7300134,,
1753796017247,Gyroscope,0.114689864,0.92103136,-0.034666575,,
1753796017258,Accelerometer,-0.6939186,-6.4127645,7.2011995,,
1753796017267,Gyroscope,0.21853687,1.160185,0.08781181,,
1753796017277,Accelerometer,0.08853444,-6.0490556,8.079366,,
1753796017286,Gyroscope,0.16966769,1.1452187,0.006261364,,
1753796017296,Accelerometer,1.0013963,-5.7284174,6.7573314,,
1753796017306,Gyroscope,0.07192933,-0.70570153,-0.090560704,,
1753796017315,Accelerometer,-0.34456646,-6.076573,8.518449,,
1753796017324,Gyroscope,-0.27107126,-0.7817542,0.19257513,,
1753796017334,Accelerometer,0.7070791,-5.7954164,7.3974113,,
1753796017344,Gyroscope,-0.47876528,-0.7805325,0.029474225,,
1753796017354,Accelerometer,-0.2440679,-4.401597,7.7156568,,
1753796017363,Gyroscope,-0.37003133,-0.7008146,-0.7313579,,
1753796017373,Accelerometer,-5.473582,-8.262417,10.810773,,
1753796017382,Gyroscope,0.14737113,-0.1962403,0.064904384,,
1753796017392,Accelerometer,-0.57188463,-5.5597234,9.15135,,
1753796017403,Gyroscope,0.3581195,0.4045452,0.21823144,,
1753796017411,Accelerometer,-0.25603202,-6.309873,8.968299,,
1753796017418,Location,,,,50.38680712,30.45857982
1753796017423,Gyroscope,0.41279188,0.7704532,0.27412558,,
1753796017430,Accelerometer,-0.29312077,-6.290731,7.6019974,,
1753796017448,Gyroscope,-0.0059559317,0.33918267,0.43111783,,
1753796017450,Accelerometer,0.25962126,-5.2534423,7.399804,,
1753796017459,Gyroscope,-0.08689552,0.16814053,0.22861615,,
1753796017469,Accelerometer,0.567099,-5.454439,8.353344,,
1753796017479,Gyroscope,-0.00962112,-0.13057235,-0.046273008,,
1753796017488,Accelerometer,1.3399807,-3.3583267,7.55773,,
1753796017499,Gyroscope,-0.11560616,-0.19746204,-0.5166389,,
1753796017507,Accelerometer,-0.040677983,-3.7064822,9.02453,,
1753796017518,Gyroscope,-0.002290743,0.041996952,-0.68218327,,
1753796017527,Accelerometer,-1.4380864,-5.063213,7.2490563,,
1753796017536,Gyroscope,0.0044287695,0.1357647,-0.19807291,,
1753796017546,Accelerometer,-2.457429,-11.903096,7.5026956,,
1753796017555,Gyroscope,-0.038331766,-0.08231403,0.025809037,,
1753796017566,Accelerometer,0.29312077,-6.1304116,8.441878,,
1753796017575,Gyroscope,-0.03008509,-0.067958705,-0.027947064,,
1753796017585,Accelerometer,-0.6305088,-5.8683977,8.23131,,
1753796017594,Gyroscope,-0.009010255,0.007788526,0.01847866,,
1753796017604,Accelerometer,-0.39960137,-5.8013983,7.84128,,
1753796017613,Gyroscope,0.0025961753,0.013897174,0.020616686,,
1753796017624,Accelerometer,-0.20578274,-5.572884,7.6713896,,
1753796017632,Gyroscope,-0.011148282,-0.010231985,0.020311253,,
1753796017642,Accelerometer,-0.43788654,-5.487939,7.85444,,
1753796017654,Gyroscope,-0.011453714,-0.0050396346,0.0044287695,,
1753796017663,Accelerometer,-0.39601216,-5.267799,7.7240314,,
1753796017671,Gyroscope,-7.6358096E-4,-0.016646065,-4.581486E-4,,
1753796017681,Accelerometer,-0.3505485,-5.9916277,7.6223364,,
1753796017690,Gyroscope,-0.027336199,-0.05054906,-0.008704823,,
1753796017700,Accelerometer,-0.17826529,-5.5166526,8.043473,,
1753796017710,Gyroscope,-0.030390523,-0.08353576,-0.01970039,,
1753796017720,Accelerometer,-0.17108682,-5.9641104,8.489735,,
1753796017729,Gyroscope,-0.025503604,-0.057879437,-0.011148282,,
1753796017739,Accelerometer,-0.4869394,-5.5657053,7.8436728,,
1753796017748,Gyroscope,-0.006872229,-0.022754714,-0.003817905,,
1753796017759,Accelerometer,0.15672988,-5.7583275,7.813762,,
1753796017767,Gyroscope,-0.03924806,0.023976443,0.009926553,,
1753796017778,Accelerometer,0.66400826,-4.9926243,7.798209,,
1753796017786,Gyroscope,-0.02489274,0.030695954,0.033444848,,
1753796017798,Accelerometer,-0.65922266,-6.0358953,8.504091,,
1753796017807,Gyroscope,0.005345067,-0.007788526,0.012675445,,
1753796017815,Accelerometer,-1.1318051,-6.8051877,8.937193,,
1753796017825,Gyroscope,-0.0035124724,-0.04780017,-0.009010255,,
1753796017835,Accelerometer,0.0634098,-6.209375,8.569894,,
1753796017844,Gyroscope,-0.0025961753,-0.012064579,0.003817905,,
1753796017854,Accelerometer,-0.09930214,-5.3240304,7.952546,,
1753796017864,Gyroscope,0.0151189035,-0.0010690134,0.003817905,,
1753796017873,Accelerometer,-0.9212367,-6.309873,8.068598,,
1753796017883,Gyroscope,0.0129808765,-0.031001387,-0.024281874,,
1753796017893,Accelerometer,-0.4869394,-6.775277,9.164511,,
1753796017903,Gyroscope,0.0074830935,-0.04291325,-0.013591741,,
1753796017912,Accelerometer,-0.16271193,-6.101698,8.9348,,
1753796017921,Gyroscope,0.018784093,-0.012064579,-0.0029016077,,
1753796017931,Accelerometer,-0.5084748,-6.168697,8.094919,,
1753796017941,Gyroscope,0.033444848,-0.0129808765,-0.00962112,,
1753796017951,Accelerometer,-0.7920243,-6.0693946,8.311469,,
1753796017960,Gyroscope,0.045051277,-0.01970039,-0.014508039,,
1753796017970,Accelerometer,-0.17467605,-6.250053,8.921639,,
1753796017979,Gyroscope,0.050243627,-0.007788526,-0.0013744457,,
1753796017989,Accelerometer,-0.16749759,-6.2081785,8.472985,,
1753796017999,Gyroscope,0.049327333,-0.011148282,4.581486E-4,,
1753796018008,Accelerometer,-0.4211368,-5.9916277,8.163115,,
1753796018019,Gyroscope,0.045967575,-0.012064579,0.0056504994,,
1753796018028,Accelerometer,-0.062213387,-5.7403817,8.860622,,
1753796018038,Gyroscope,0.041996952,0.026419902,0.034361143,,
1753796018047,Accelerometer,0.27996024,-6.017949,8.502895,,
1753796018056,Gyroscope,0.0481056,0.0368046,0.0368046,,
1753796018066,Accelerometer,-0.08853444,-5.7954164,8.1344,,
1753796018076,Gyroscope,0.04291325,0.0010690134,0.018173227,,
1753796018085,Accelerometer,-0.72023964,-5.7834525,7.9011,,
1753796018096,Gyroscope,0.055130545,-0.02367101,0.011453714,,
1753796018105,Accelerometer,-0.5515456,-5.875576,8.346166,,
1753796018114,Gyroscope,0.050243627,0.011759147,0.020922119,,
1753796018124,Accelerometer,-0.27038896,-5.9844494,8.689535,,
1753796018133,Gyroscope,0.038331766,0.009010255,0.01970039,,
1753796018143,Accelerometer,-0.317049,-5.7726846,8.076973,,
1753796018153,Gyroscope,0.041691523,-0.0129808765,-7.6358096E-4,,
1753796018163,Accelerometer,-0.2955136,-6.141179,8.328219,,
1753796018172,Gyroscope,0.02367101,-0.011148282,7.6358096E-4,,
1753796018182,Accelerometer,-0.16630118,-5.8337016,8.352147,,
1753796018191,Gyroscope,0.013897174,0.0025961753,0.008399391,,
1753796018201,Accelerometer,-0.5084748,-5.8683977,8.402397,,
1753796018210,Gyroscope,0.0059559317,0.004123337,0.007788526,,
1753796018220,Accelerometer,-0.5623133,-5.666204,7.9800634,,
1753796018230,Gyroscope,0.0050396346,0.004734202,0.013897174,,
1753796018240,Accelerometer,-0.22612174,-5.7451673,7.9740815,,
1753796018249,Gyroscope,-0.0013744457,0.011759147,0.020005822,,
1753796018259,Accelerometer,-0.20578274,-5.54417,7.9980097,,
1753796018270,Gyroscope,-0.005345067,0.0108428495,0.016951498,,
1753796018280,Accelerometer,-0.28594232,-5.4999027,8.018349,,
1753796018288,Gyroscope,-0.0129808765,0.0010690134,0.014202606,,
1753796018300,Accelerometer,-0.20458634,-5.4149575,7.678568,,
1753796018307,Gyroscope,-0.018784093,0.002290743,0.01970039,,
1753796018317,Accelerometer,-0.37447673,-5.4317074,7.759924,,
1753796018326,Gyroscope,-0.016646065,0.0016798781,0.017562363,,
1753796018336,Accelerometer,-0.40677986,-5.3910294,7.8077803,,
1753796018346,Gyroscope,-0.016646065,-0.0010690134,0.0108428495,,
1753796018355,Accelerometer,-0.37088752,-5.3300123,7.6307116,,
1753796018365,Gyroscope,-0.022754714,-0.012675445,0.007177661,,
1753796018375,Accelerometer,-0.4546363,-5.4113684,7.617551,,
1753796018384,Gyroscope,-0.026419902,-0.009926553,0.007177661,,
1753796018394,Accelerometer,-0.4749753,-5.400601,7.678568,,
1753796018404,Gyroscope,-0.03008509,-0.011453714,0.00320704,,
1753796018413,Accelerometer,-0.5563313,-5.660222,7.8281193,,
1753796018422,Location,,,,50.38675842,30.45847563
1753796018422,Gyroscope,-0.03924806,-0.025809037,-0.00320704,,
1753796018435,Accelerometer,-0.6436693,-5.7188463,8.120044,,
1753796018442,Gyroscope,-0.040775225,-0.020922119,-0.0035124724,,
1753796018451,Accelerometer,-0.5515456,-5.6757755,8.130812,,
1753796018462,Gyroscope,-0.045967575,-0.020922119,0.0029016077,,
1753796018473,Accelerometer,-0.3696911,-5.6913285,7.661818,,
1753796018480,Gyroscope,-0.040775225,-0.004734202,0.0029016077,,
1753796018490,Accelerometer,-0.38404804,-6.026324,8.026724,,
1753796018501,Gyroscope,-0.0490219,-0.0019853106,0.009926553,,
1753796018509,Accelerometer,-0.552742,-5.8887367,8.768498,,
1753796018519,Gyroscope,-0.044134982,-0.019089524,0.013591741,,
1753796018529,Accelerometer,-0.317049,-5.919843,8.338987,,
1753796018539,Gyroscope,-0.042302385,-0.0065667965,0.018173227,,
1753796018547,Accelerometer,-0.24765715,-5.8636117,7.879565,,
